Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Training Stress Score®;Grit;Flow;Total Strokes;Avg. Swolf;Avg Stroke Rate;Total Reps;Decompression;Best Lap Time;Number of Laps;Max Temp;Stress Change;Stress Start;Stress End;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Walking;13/06/2024 05:18;false;San Borja Walking;1.57;99;00:18:45;112;142;104;128;11:56;10:20;--;8;0.81;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;06:30.8;2;NaN;--;--;--;00:18:36;00:18:45;127;179
Running;13/06/2024 04:07;false;Santiago de Surco Running;12.01;695;01:09:54;148;164;178;185;05:49;05:12;31;98;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.6;13;NaN;--;--;--;01:09:50;01:09:54;126;197
Meditation;12/06/2024 06:35;false;Meditation ;--;6;05:16.2;60;79;--;--;--;--;--;--;NaN;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;05:16.2;1;NaN;-59;59;0;00:00:00;05:16.2;--;--
Running;12/06/2024 05:02;false;Santiago de Surco Running;8.02;430;00:46:01;143;160;183;191;05:44;04:56;68;198;0.95;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.6;9;NaN;--;--;--;00:45:52;00:46:01;-5;184
Running;10/06/2024 21:57;false;Santiago de Surco Running;6.23;299;00:35:16;131;152;183;198;05:40;04:50;4;75;0.96;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:04.1;7;NaN;--;--;--;00:35:07;00:35:16;87;165
Running;8/06/2024 04:32;false;Santiago de Surco Running;17.06;987;01:35:41;156;170;182;195;05:36;04:34;118;215;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:17.1;18;NaN;--;--;--;01:35:36;01:35:41;-11;141
Walking;7/06/2024 14:21;false;Pachacamac Walking;0.9;95;00:26:44;88;121;23;232;29:43:00;05:21;67;10;1.44;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:26:44;1;NaN;--;--;--;00:11:42;00:26:44;306;362
Running;5/06/2024 05:25;false;Santiago de Surco Running;4.09;260;00:26:03;154;169;177;185;06:22;05:21;7;67;0.89;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:28.8;5;NaN;--;--;--;00:25:58;00:26:03;91;159
Running;4/06/2024 04:57;false;Santiago de Surco Running;11.05;647;01:05:48;152;174;183;191;05:57;04:47;21;115;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:13.8;12;NaN;--;--;--;01:05:42;01:05:48;52;154
Running;3/06/2024 17:34;false;Santiago de Surco Running;4.05;214;00:23:38;135;149;177;187;05:50;04:52;2;68;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:14.1;5;NaN;--;--;--;00:23:32;00:23:38;88;158
Running;1/06/2024 04:41;false;Santiago de Surco Running;14.12;818;01:20:26;152;178;183;195;05:42;04:56;36;130;0.96;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:35.5;15;NaN;--;--;--;01:20:21;01:20:26;21;123
Running;31/05/2024 05:30;false;Santiago de Surco Running;6.24;367;00:34:50;155;172;184;198;05:35;04:47;7;75;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:13.8;7;NaN;--;--;--;00:34:40;00:34:50;17;91
Running;30/05/2024 05:03;false;Santiago de Surco Running;9.63;602;00:57:47;155;175;182;191;06:00;04:48;9;114;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;03:29.5;10;NaN;--;--;--;00:57:40;00:57:47;-45;61
Running;28/05/2024 05:03;false;Running;11.03;643;00:58:27;158;175;180;189;05:18;04:47;18;99;1.05;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:08.3;12;NaN;--;--;--;00:58:16;00:58:27;-11;78
Running;24/05/2024 07:08;false;Santiago de Surco Running;8.28;453;00:45:14;150;168;180;189;05:28;04:46;93;301;1.02;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:20.6;9;NaN;--;--;--;00:45:06;00:45:14;-63;191
Running;23/05/2024 05:58;false;Santiago de Surco Running;4.02;220;00:22:20;152;162;186;197;05:34;04:40;13;162;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:04.5;5;NaN;--;--;--;00:22:13;00:22:20;70;234
